Date,Open,High,Low,Close,Adj Close,Volume
2019-09-12,4220,4230,4160,4170,4170,70382200
2019-09-13,4230,4230,4160,4160,4160,64074800
2019-09-16,4160,4260,4160,4220,4220,85284700
2019-09-17,4240,4280,4220,4270,4270,86432000
2019-09-18,4250,4280,4230,4250,4250,72359600
2019-09-19,4260,4260,4190,4210,4210,58720600
2019-09-20,4250,4300,4230,4290,4290,132359100
2019-09-23,4290,4300,4230,4250,4250,70483600
2019-09-24,4210,4240,4150,4210,4210,88979100
2019-09-25,4220,4250,4180,4220,4220,84582300
2019-09-26,4220,4370,4200,4360,4360,79324000
2019-09-27,4310,4350,4300,4310,4310,52305800
2019-09-30,4270,4330,4270,4310,4310,111879100
2019-10-01,4400,4400,4220,4250,4250,60332400
2019-10-02,4260,4300,4190,4200,4200,51606300
2019-10-03,4190,4250,4160,4200,4200,56433000
2019-10-04,4250,4250,4180,4190,4190,34082000
2019-10-07,4240,4240,4090,4110,4110,42996900
2019-10-08,4170,4170,4060,4090,4090,74448900
2019-10-09,4090,4170,4080,4120,4120,59314500
2019-10-10,4060,4120,4060,4110,4110,34345600
2019-10-11,4100,4170,4100,4170,4170,42198800
2019-10-14,4200,4210,4150,4190,4190,52681800
2019-10-15,4190,4190,4150,4170,4170,64670200
2019-10-16,4170,4190,4140,4170,4170,70555700
2019-10-17,4160,4180,4140,4170,4170,50695300
2019-10-18,4170,4190,4160,4190,4190,169540200
2019-10-21,4200,4250,4190,4200,4200,63797000
2019-10-22,4200,4250,4200,4230,4230,56711100
2019-10-23,4210,4270,4210,4260,4260,97971900
2019-10-24,4300,4350,4250,4350,4350,99213400
2019-10-25,4320,4360,4270,4280,4280,67661500
2019-10-28,4280,4280,4220,4260,4260,30710600
2019-10-29,4230,4330,4220,4330,4330,68715000
2019-10-30,4290,4350,4210,4270,4270,89575600
2019-10-31,4220,4240,4080,4110,4110,185713300
2019-11-01,4090,4150,4060,4080,4080,107208500
2019-11-04,4080,4160,4080,4150,4150,65897700
2019-11-05,4170,4200,4130,4200,4200,109276000
2019-11-06,4180,4190,4110,4120,4120,134618700
2019-11-07,4150,4150,3990,4070,4070,125291200
2019-11-08,4010,4120,3990,4110,4110,70404800
2019-11-11,4040,4120,4040,4100,4100,57079800
2019-11-12,4050,4190,4050,4180,4180,88251100
2019-11-13,4130,4170,4100,4150,4150,91925700
2019-11-14,4110,4130,4010,4050,4050,123468500
2019-11-15,4080,4090,4030,4080,4080,50780500
2019-11-18,4040,4060,3990,4000,4000,104978700
2019-11-19,4000,4020,3970,4020,4020,113996600
2019-11-20,4000,4090,4000,4090,4090,149185500
2019-11-21,4050,4090,4020,4020,4020,64005900
2019-11-22,4030,4050,4000,4050,4050,76569400
2019-11-25,4070,4070,3940,3950,3950,107581200
2019-11-26,3950,3960,3860,3860,3860,281002600
2019-11-27,3870,3930,3800,3880,3880,97511300
2019-11-28,3830,3900,3800,3820,3820,70635000
2019-11-29,3860,3950,3840,3930,3930,72146900
2019-12-02,3960,3960,3930,3950,3950,74263500
2019-12-03,3920,3940,3910,3920,3920,74494000
2019-12-04,3920,3990,3900,3990,3990,64948300
2019-12-05,3990,4080,3990,4060,4060,118494800
2019-12-06,4040,4100,4020,4100,4100,50682100
